Vector size,Num iterations,Time (linear),Time (random)
8,1073741824,1.537556,1.537706
16,1073741824,1.539509,1.530880
32,1073741824,1.528009,1.531956
64,1073741824,1.528250,1.530795
128,1073741824,1.532679,1.529469
256,1073741824,1.529745,1.527515
512,1073741824,1.530803,1.531371
1024,1073741824,1.528930,1.532949
2048,1073741824,1.528398,1.529758
4096,1073741824,1.536328,1.543716
8192,1073741824,1.556589,2.701024
16384,1073741824,1.557033,3.208215
32768,1073741824,1.555531,4.032008
65536,1073741824,1.559692,7.692000
131072,1073741824,1.560331,9.633326
262144,1073741824,1.562598,10.609259
524288,1073741824,1.570519,11.525028
1048576,1073741824,1.599777,37.274441
2097152,1073741824,1.599008,54.178111
4194304,1073741824,1.566938,63.730340
8388608,1073741824,1.603889,67.539838
16777216,1073741824,1.607070,71.987280
33554432,1073741824,1.603727,74.135444
67108864,1073741824,1.603340,75.135052
134217728,1073741824,1.613778,75.734390
268435456,1073741824,1.601140,76.028338
536870912,1073741824,1.610805,87.106986
