Vector size,Num iterations,Time (linear),Time (random)
8,1073741824,1.566467,1.567309
16,1073741824,1.566596,1.566955
32,1073741824,1.565008,1.572095
64,1073741824,1.568118,1.568588
128,1073741824,1.572063,1.569766
256,1073741824,1.559188,1.568675
512,1073741824,1.567730,1.556761
1024,1073741824,1.560011,1.567768
2048,1073741824,1.569495,1.563240
4096,1073741824,1.562036,1.572644
8192,1073741824,1.570098,1.644783
16384,1073741824,1.564134,2.696854
32768,1073741824,1.569135,3.266342
65536,1073741824,1.567415,3.536539
131072,1073741824,1.578795,7.692844
262144,1073741824,1.576215,9.684392
524288,1073741824,1.568098,10.673982
1048576,1073741824,1.583185,15.166980
2097152,1073741824,1.603513,39.725310
4194304,1073741824,1.587391,64.883650
8388608,1073741824,1.590813,73.311863
16777216,1073741824,1.598314,76.646065
33554432,1073741824,1.587098,84.728698
67108864,1073741824,1.617660,88.526215
134217728,1073741824,1.618499,92.088689
268435456,1073741824,1.612447,95.318347
536870912,1073741824,ERROR,ERROR
