Vector size,Num iterations,Time (linear),Time (random)
8,1073741824,5.410665,5.359644
16,1073741824,5.410350,5.359367
32,1073741824,5.410999,5.362384
64,1073741824,5.356952,5.358842
128,1073741824,5.359293,5.360219
256,1073741824,5.409446,5.359288
512,1073741824,5.360224,5.359330
1024,1073741824,5.410693,5.359765
2048,1073741824,5.415601,5.360216
4096,1073741824,5.446945,5.363645
8192,1073741824,5.632274,7.735103
16384,1073741824,5.630291,16.120718
32768,1073741824,5.616553,21.620057
65536,1073741824,5.627527,24.606343
131072,1073741824,6.039957,53.838804
262144,1073741824,6.832219,122.322784
524288,1073741824,7.295094,174.784540
1048576,1073741824,7.276321,203.132473
2097152,1073741824,7.275313,219.772762
4194304,1073741824,7.274632,232.556768
8388608,1073741824,7.277989,244.735986
16777216,1073741824,7.268112,262.592805
33554432,1073741824,7.169104,292.092101
67108864,1073741824,7.267159,344.174932
134217728,1073741824,7.268688,386.566383
268435456,1073741824,ERROR,ERROR
536870912,1073741824,ERROR,ERROR
